년도,부류,부류 상세,도매시장,공판장,물량,금액,단위
"2015","수산","수산","대전오정","한밭수산","5840","30324",톤, 백만원
"2015","수산","수산","대전노은","대전노은신화수산","2410","15417",톤, 백만원
"2015","수산","수산","울 산","울산중앙수산","1970","9810",톤, 백만원
"2015","수산","수산","울 산","울산건해산물","410","3790",톤, 백만원
"2015","수산","수산","울 산","울산수협(공)","3363","15306",톤, 백만원
"2015","수산","수산","울 산","상장예외","0","0",톤, 백만원
"2015","수산","수산","수 원","수원수산","3033","11216",톤, 백만원
"2015","수산","수산","수 원","남부수협수원(공)","3867","15359",톤, 백만원
"2015","수산","수산","안 양","안양평촌수산","7443","30652",톤, 백만원
"2015","수산","수산","안 산","안산수산","3225","11949",톤, 백만원
"2015","수산","수산","안 산","상장예외","164","678",톤, 백만원
"2015","수산","수산","구 리","강북수산","21034","65528",톤, 백만원
"2015","수산","수산","구 리","수협구리(공)","17380","56377",톤, 백만원
"2015","수산","수산","구 리","상장예외","1105","12805",톤, 백만원
"2015","수산","수산","청 주 ","청주수산","1527","5583",톤, 백만원
"2015","수산","수산","충 주 ","중원수산","766","2948",톤, 백만원
"2015","수산","수산","천 안","해랑수산","346","1646",톤, 백만원
"2015","수산","수산","전 주","전주수산","1269","5691",톤, 백만원
"2015","수산","수산","전 주","수협전주(공)","503","2926",톤, 백만원
"2015","수산","수산","익 산 ","이리수산","1872","6485",톤, 백만원
"2015","청과","과일","대전오정","대전청과","20655","44219",톤, 백만원
"2015","청과","과일","대전오정","농협대전(공)","27553","59781",톤, 백만원
"2015","청과","과일","대전노은","대전중앙청과","19414","41619",톤, 백만원
"2015","청과","과일","대전노은","대전원예농협노은(공)","13410","27412",톤, 백만원
"2015","청과","과일","울 산","울산중앙청과","15555","30414",톤, 백만원
"2015","청과","과일","울 산","울산원예농협(공)","14686","31106",톤, 백만원
"2015","청과","과일","수 원","수원청과","8791","19422",톤, 백만원
"2015","청과","과일","수 원","경기청과","10514","21764",톤, 백만원
"2015","청과","과일","수 원","수원원예농협(공)","7013","13844",톤, 백만원
"2015","청과","과일","수 원","상장예외","0","0",톤, 백만원
"2015","청과","과일","안 양","태 원","3881","7947",톤, 백만원
"2015","청과","과일","안 양","안양청과(주)","128","271",톤, 백만원
"2015","청과","과일","안 양","안양원예농협(공)","17546","40031",톤, 백만원
"2015","청과","과일","안 산","안산농산물","8015","15561",톤, 백만원
"2015","청과","과일","안 산","농협안산(공)","14339","28991",톤, 백만원
"2015","청과","과일","구 리","구리청과","41691","81273",톤, 백만원
"2015","청과","과일","구 리","인터넷청과","27635","59193",톤, 백만원
"2015","청과","과일","구 리","농협구리(공)","34514","67265",톤, 백만원
"2015","청과","과일","구 리","상장예외","40","114",톤, 백만원
"2015","청과","과일","춘 천","춘천중앙청과","1834","3738",톤, 백만원
"2015","청과","과일","춘 천","춘천원예농협(공)","3270","8120",톤, 백만원
"2015","청과","과일","원 주","합동청과","6216","12786",톤, 백만원
"2015","청과","과일","원 주","원주원예농협(공)","6277","13071",톤, 백만원
"2015","청과","과일","강 릉","강릉농산물","5417","11040",톤, 백만원
"2015","청과","과일","청 주","청주청과","11680","23734",톤, 백만원
"2015","청과","과일","청 주","충북원예농협청주(공)","13302","27594",톤, 백만원
"2015","청과","과일","충 주","중원청과","2854","5033",톤, 백만원
"2015","청과","과일","충 주","충주원예농협충주(공)","9927","21480",톤, 백만원
"2015","청과","과일","천 안","천안청과","16357","34293",톤, 백만원
"2015","청과","과일","천 안","천안농협(공)","10513","21597",톤, 백만원
"2015","청과","과일","전 주","전주청과","10233","21217",톤, 백만원
"2015","청과","과일","전 주","전주원예농협(공)","10732","21963",톤, 백만원
"2015","청과","과일","익 산","이리청과","3651","7565",톤, 백만원
"2015","청과","과일","익 산","익산원예농협(공)","9823","22541",톤, 백만원
"2015","청과","과일","정 읍","정일청과","4436","8425",톤, 백만원
"2015","청과","과일","정 읍","정읍원예농협(공)","2110","3748",톤, 백만원
"2015","청과","과일","순 천","남도청과","8197","17173",톤, 백만원
"2015","청과","과일","순 천","남일청과","6588","13839",톤, 백만원
"2015","청과","과일","순 천","순천원예농협(공)","8484","17376",톤, 백만원
"2015","청과","과일","포 항","포항청과","7357","15107",톤, 백만원
"2015","청과","과일","포 항","대구경북능금농협포항(공)","6712","15087",톤, 백만원
"2015","청과","과일","포 항","포항농협(공)","3383","5813",톤, 백만원
"2015","청과","과일","안 동","안동청과","48922","98118",톤, 백만원
"2015","청과","과일","안 동","안동농협(공)","51934","99051",톤, 백만원
"2015","청과","과일","구 미","구미중앙청과","4382","8600",톤, 백만원
"2015","청과","과일","구 미","구미농협(공)","5839","11421",톤, 백만원
"2015","청과","과일","창원팔용","창원청과","9546","21384",톤, 백만원
"2015","청과","과일","창원팔용","농협창원(공)","11853","25980",톤, 백만원
"2015","청과","과일","창원내서","마산청과","11371","25066",톤, 백만원
"2015","청과","과일","창원내서","창원원예농협(공)","12931","22882",톤, 백만원
"2015","청과","과일","진 주","진주중앙청과","10645","21669",톤, 백만원
"2015","청과","과일","진 주","진주원예농협(공)","11590","25027",톤, 백만원
"2015","수산","수산","서울가락","강동수산","44488","153428",톤, 백만원
"2015","수산","수산","서울가락","서울건해","20123","127094",톤, 백만원
"2015","수산","수산","서울가락","수협가락(공)","26187","81627",톤, 백만원
"2015","수산","수산","서울가락","상장예외","11365","71483",톤, 백만원
"2015","수산","수산","부산국제","부산감천항수산","13510","45717",톤, 백만원
"2015","수산","수산","부산국제","삼성아이에프엠","56723","83300",톤, 백만원
"2015","수산","수산","부산국제","부산수산물(공)","47832","80962",톤, 백만원
"2015","수산","수산","부산국제","상장예외","152","679",톤, 백만원
"2015","수산","수산","대구북부","대구수산","6648","18958",톤, 백만원
"2015","수산","수산","대구북부","대구종합수산","6545","28075",톤, 백만원
"2015","수산","수산","대구북부","대구신화수산","5333","28377",톤, 백만원
"2015","수산","수산","광주서부","수협광주(공)","4206","28780",톤, 백만원
"2015","청과","채소","충 주","중원청과","9374","12431",톤, 백만원
"2015","청과","채소","충 주","충주원예농협충주(공)","10748","19231",톤, 백만원
"2015","청과","채소","천 안","천안청과","27183","35423",톤, 백만원
"2015","청과","채소","천 안","천안농협(공)","11822","17192",톤, 백만원
"2015","청과","채소","전 주","전주청과","24219","31008",톤, 백만원
"2015","청과","채소","전 주","전주원예농협(공)","32186","44804",톤, 백만원
"2015","청과","채소","익 산","이리청과","5141","7635",톤, 백만원
"2015","청과","채소","익 산","익산원예농협(공)","34534","51303",톤, 백만원
"2015","청과","채소","정 읍","정일청과","8699","11687",톤, 백만원
"2015","청과","채소","정 읍","정읍원예농협(공)","2477","3478",톤, 백만원
"2015","청과","채소","순 천","남도청과","23389","27616",톤, 백만원
"2015","청과","채소","순 천","남일청과","2090","3515",톤, 백만원
"2015","청과","채소","순 천","순천원예농협(공)","32546","39882",톤, 백만원
"2015","청과","채소","포 항","포항청과","4081","8748",톤, 백만원
"2015","청과","채소","포 항","대구경북능금농협포항(공)","3176","6617",톤, 백만원
"2015","청과","채소","포 항","포항농협(공)","1716","2944",톤, 백만원
"2015","청과","채소","안 동","안동청과","4373","6265",톤, 백만원
"2015","청과","채소","안 동","안동농협(공)","10265","16022",톤, 백만원
"2015","청과","채소","구 미","구미중앙청과","4592","6564",톤, 백만원
"2015","청과","채소","구 미","구미농협(공)","8152","10815",톤, 백만원
"2015","청과","채소","창원팔용","창원청과","12669","14725",톤, 백만원
"2015","청과","채소","창원팔용","농협창원(공)","23657","30658",톤, 백만원
"2015","청과","채소","창원내서","마산청과","15111","21783",톤, 백만원
"2015","청과","채소","창원내서","창원원예농협(공)","25025","27858",톤, 백만원
"2015","청과","채소","진 주","진주중앙청과","8584","17779",톤, 백만원
"2015","청과","채소","진 주","진주원예농협(공)","29693","54978",톤, 백만원
"2015","청과","과일","서울가락","서울청과","94385","216497",톤, 백만원
"2015","청과","과일","서울가락","중앙청과","100608","221829",톤, 백만원
"2015","청과","과일","서울가락","동부팜청과","44607","91635",톤, 백만원
"2015","청과","과일","서울가락","한국청과","39417","79637",톤, 백만원
"2015","청과","과일","서울가락","대아청과","0","0",톤, 백만원
"2015","청과","과일","서울가락","농협가락(공)","68376","143402",톤, 백만원
"2015","청과","과일","서울가락","상장예외","8908","38117",톤, 백만원
"2015","청과","과일","서울강서","서부청과","21536","40641",톤, 백만원
"2015","청과","과일","서울강서","강서청과","9845","17040",톤, 백만원
"2015","청과","과일","서울강서","농협강서(공)","23005","45685",톤, 백만원
"2015","청과","과일","서울강서","시장도매인","136215","280782",톤, 백만원
"2015","청과","과일","부산엄궁","부산청과","20161","38800",톤, 백만원
"2015","청과","과일","부산엄궁","항도청과","25939","47312",톤, 백만원
"2015","청과","과일","부산엄궁","농협부산(공)","21601","45282",톤, 백만원
"2015","청과","과일","부산엄궁","상장예외","0","0",톤, 백만원
"2015","청과","과일","부산반여","동부청과","19617","40825",톤, 백만원
"2015","청과","과일","부산반여","부산중앙청과","19350","41221",톤, 백만원
"2015","청과","과일","부산반여","농협반여(공)","22634","47340",톤, 백만원
"2015","청과","과일","부산반여","상장예외","0","0",톤, 백만원
"2015","청과","과일","대구북부","대구중앙청과","25391","52337",톤, 백만원
"2015","청과","과일","대구북부","효성청과","12942","24457",톤, 백만원
"2015","청과","과일","대구북부","대양청과","10987","19477",톤, 백만원
"2015","청과","과일","대구북부","농협북대구(공)","17514","34440",톤, 백만원
"2015","청과","과일","대구북부","대구경북원예농협(공)","7164","13168",톤, 백만원
"2015","청과","과일","대구북부","상장예외","0","0",톤, 백만원
"2015","청과","과일","인천구월","인천농산물(주)","11057","22926",톤, 백만원
"2015","청과","과일","인천구월","대인농산","10973","19983",톤, 백만원
"2015","청과","과일","인천구월","덕풍청과(주)","11943","24270",톤, 백만원
"2015","청과","과일","인천구월","인천원예농협구월(공)","10484","19944",톤, 백만원
"2015","청과","과일","인천삼산","부평농산","14249","28980",톤, 백만원
"2015","청과","과일","인천삼산","경인농산","12775","25360",톤, 백만원
"2015","청과","과일","인천삼산","인천원예농협삼산(공)","13941","27220",톤, 백만원
"2015","청과","과일","광주각화","광주청과","16032","32486",톤, 백만원
"2015","청과","과일","광주각화","광주중앙청과","8588","15600",톤, 백만원
"2015","청과","과일","광주각화","광주원예농협(공)","26060","52101",톤, 백만원
"2015","청과","과일","광주서부","두레청과","24208","51070",톤, 백만원
"2015","청과","과일","광주서부","호남청과","25662","54398",톤, 백만원
"2015","청과","과일","광주서부","농협광주(공)","19748","43188",톤, 백만원
"2015","청과","채소","서울가락","서울청과","278828","479898",톤, 백만원
"2015","청과","채소","서울가락","중앙청과","244234","474488",톤, 백만원
"2015","청과","채소","서울가락","동부팜청과","349775","583643",톤, 백만원
"2015","청과","채소","서울가락","한국청과","396362","596880",톤, 백만원
"2015","청과","채소","서울가락","대아청과","437312","289234",톤, 백만원
"2015","청과","채소","서울가락","농협가락(공)","146435","295520",톤, 백만원
"2015","청과","채소","서울가락","상장예외","213413","480366",톤, 백만원
"2015","청과","채소","서울강서","서부청과","86650","105123",톤, 백만원
"2015","청과","채소","서울강서","강서청과","67011","75678",톤, 백만원
"2015","청과","채소","서울강서","농협강서(공)","84261","101865",톤, 백만원
"2015","청과","채소","서울강서","시장도매인","177578","296225",톤, 백만원
"2015","청과","채소","부산엄궁","부산청과","53167","69067",톤, 백만원
"2015","청과","채소","부산엄궁","항도청과","52418","74555",톤, 백만원
"2015","청과","채소","부산엄궁","농협부산(공)","84775","130873",톤, 백만원
"2015","청과","채소","부산엄궁","상장예외","137454","76557",톤, 백만원
"2015","청과","채소","부산반여","동부청과","52383","78150",톤, 백만원
"2015","청과","채소","부산반여","부산중앙청과","47081","75749",톤, 백만원
"2015","청과","채소","부산반여","농협반여(공)","64623","112679",톤, 백만원
"2015","청과","채소","부산반여","상장예외","60092","49193",톤, 백만원
"2015","청과","채소","대구북부","대구중앙청과","68402","122646",톤, 백만원
"2015","청과","채소","대구북부","효성청과","108216","134560",톤, 백만원
"2015","청과","채소","대구북부","대양청과","99002","128012",톤, 백만원
"2015","청과","채소","대구북부","농협북대구(공)","45525","69520",톤, 백만원
"2015","청과","채소","대구북부","대구경북원예농협(공)","36992","33468",톤, 백만원
"2015","청과","채소","대구북부","상장예외","106448","81665",톤, 백만원
"2015","청과","채소","인천구월","인천농산물(주)","54607","67381",톤, 백만원
"2015","청과","채소","인천구월","대인농산","37907","49783",톤, 백만원
"2015","청과","채소","인천구월","덕풍청과(주)","27371","38096",톤, 백만원
"2015","청과","채소","인천구월","인천원예농협구월(공)","31822","40195",톤, 백만원
"2015","청과","채소","인천삼산","부평농산","58072","63345",톤, 백만원
"2015","청과","채소","인천삼산","경인농산","59035","72504",톤, 백만원
"2015","청과","채소","인천삼산","인천원예농협삼산(공)","51059","69462",톤, 백만원
"2015","청과","채소","광주각화","광주청과","45519","64593",톤, 백만원
"2015","청과","채소","광주각화","광주중앙청과","66267","97058",톤, 백만원
"2015","청과","채소","광주각화","광주원예농협(공)","78509","97049",톤, 백만원
"2015","청과","채소","광주서부","두레청과","47551","70436",톤, 백만원
"2015","청과","채소","광주서부","호남청과","58197","75610",톤, 백만원
"2015","청과","채소","광주서부","농협광주(공)","56616","88141",톤, 백만원
"2015","청과","채소","대전오정","대전청과","86215","105896",톤, 백만원
"2015","청과","채소","대전오정","농협대전(공)","111015","163421",톤, 백만원
"2015","청과","채소","대전노은","대전중앙청과","85927","104470",톤, 백만원
"2015","청과","채소","대전노은","대전원예농협노은(공)","29444","44771",톤, 백만원
"2015","청과","채소","울 산","울산중앙청과","31235","38124",톤, 백만원
"2015","청과","채소","울 산","울산원예농협(공)","27509","45620",톤, 백만원
"2015","청과","채소","수 원","수원청과","28767","35597",톤, 백만원
"2015","청과","채소","수 원","경기청과","32665","41445",톤, 백만원
"2015","청과","채소","수 원","수원원예농협(공)","24586","27275",톤, 백만원
"2015","청과","채소","수 원","상장예외","1218","4152",톤, 백만원
"2015","청과","채소","안 양","태 원","11852","14373",톤, 백만원
"2015","청과","채소","안 양","안양청과(주)","273","304",톤, 백만원
"2015","청과","채소","안 양","안양원예농협(공)","23653","30704",톤, 백만원
"2015","청과","채소","안 산","안산농산물","29471","34534",톤, 백만원
"2015","청과","채소","안 산","농협안산(공)","35996","47506",톤, 백만원
"2015","청과","채소","구 리","구리청과","106229","145124",톤, 백만원
"2015","청과","채소","구 리","인터넷청과","86444","109730",톤, 백만원
"2015","청과","채소","구 리","농협구리(공)","92815","118843",톤, 백만원
"2015","청과","채소","구 리","상장예외","15686","48205",톤, 백만원
"2015","청과","채소","춘 천","춘천중앙청과","5041","8368",톤, 백만원
"2015","청과","채소","춘 천","춘천원예농협(공)","5107","9009",톤, 백만원
"2015","청과","채소","원 주","합동청과","11712","16594",톤, 백만원
"2015","청과","채소","원 주","원주원예농협(공)","9397","14193",톤, 백만원
"2015","청과","채소","강 릉","강릉농산물","16177","27379",톤, 백만원
"2015","청과","채소","청 주","청주청과","40239","57386",톤, 백만원
"2015","청과","채소","청 주","충북원예농협청주(공)","32849","46006",톤, 백만원
"2014","수산","수산","대전오정","한밭수산","6301","33738",톤, 백만원
"2014","수산","수산","대전노은","대전노은신화수산","370","2102",톤, 백만원
"2014","수산","수산","울 산","울산중앙수산","2158","10101",톤, 백만원
"2014","수산","수산","울 산","울산건해산물","509","5242",톤, 백만원
"2014","수산","수산","울 산","울산수협(공)","3379","14789",톤, 백만원
"2014","수산","수산","울 산","상장예외","39","512",톤, 백만원
"2014","수산","수산","수 원","수원수산","2886","11513",톤, 백만원
"2014","수산","수산","수 원","남부수협수원(공)","4321","14897",톤, 백만원
"2014","수산","수산","안 양","안양평촌수산","7876","31074",톤, 백만원
"2014","수산","수산","안 산","안산수산","3243","11444",톤, 백만원
"2014","수산","수산","안 산","상장예외","146","1081",톤, 백만원
"2014","수산","수산","구 리","강북수산","21645","64473",톤, 백만원
"2014","수산","수산","구 리","수협구리(공)","18422","56597",톤, 백만원
"2014","수산","수산","구 리","상장예외","1223","13034",톤, 백만원
"2014","수산","수산","청 주 ","청주수산","1460","5266",톤, 백만원
"2014","수산","수산","충 주 ","중원수산","638","2679",톤, 백만원
"2014","수산","수산","전 주","전주수산","1500","5834",톤, 백만원
"2014","수산","수산","전 주","수협전주(공)","830","4463",톤, 백만원
"2014","수산","수산","익 산 ","이리수산","1981","6485",톤, 백만원
"2014","청과","과일","대전오정","대전청과","21223","45539",톤, 백만원
"2014","청과","과일","대전오정","농협대전(공)","25367","55198",톤, 백만원
"2014","청과","과일","대전노은","대전중앙청과","18612","41048",톤, 백만원
"2014","청과","과일","대전노은","대전원예농협노은(공)","12365","25802",톤, 백만원
"2014","청과","과일","울 산","울산중앙청과","10551","21742",톤, 백만원
"2014","청과","과일","울 산","울산원예농협(공)","22123","44799",톤, 백만원
"2014","청과","과일","수 원","수원청과","8855","19980",톤, 백만원
"2014","청과","과일","수 원","경기청과","10625","23338",톤, 백만원
"2014","청과","과일","수 원","수원원예농협(공)","7197","14555",톤, 백만원
"2014","청과","과일","수 원","상장예외","0","0",톤, 백만원
"2014","청과","과일","안 양","태 원","4748","10452",톤, 백만원
"2014","청과","과일","안 양","안양청과(주)","905","2001",톤, 백만원
"2014","청과","과일","안 양","안양원예농협(공)","18050","40174",톤, 백만원
"2014","청과","과일","안 산","안산농산물","7526","14984",톤, 백만원
"2014","청과","과일","안 산","농협안산(공)","14190","26827",톤, 백만원
"2014","청과","과일","구 리","구리청과","40400","81747",톤, 백만원
"2014","청과","과일","구 리","인터넷청과","25662","53822",톤, 백만원
"2014","청과","과일","구 리","농협구리(공)","33027","66848",톤, 백만원
"2014","청과","과일","구 리","상장예외","74","280",톤, 백만원
"2014","청과","과일","춘 천","춘천중앙청과","2583","5528",톤, 백만원
"2014","청과","과일","춘 천","춘천원예농협(공)","2961","6783",톤, 백만원
"2014","청과","과일","원 주","합동청과","6763","15384",톤, 백만원
"2014","청과","과일","원 주","원주원예농협(공)","6353","14208",톤, 백만원
"2014","청과","과일","강 릉","강릉농산물","5632","11655",톤, 백만원
"2014","청과","과일","청 주","청주청과","13099","27656",톤, 백만원
"2014","청과","과일","청 주","충북원예농협청주(공)","14328","31784",톤, 백만원
"2014","청과","과일","충 주","중원청과","2578","5040",톤, 백만원
"2014","청과","과일","충 주","충주원예농협충주(공)","9748","21271",톤, 백만원
"2014","청과","과일","천 안","천안청과","16127","34966",톤, 백만원
"2014","청과","과일","천 안","천안농협(공)","10438","22147",톤, 백만원
"2014","청과","과일","전 주","전주청과","10517","21888",톤, 백만원
"2014","청과","과일","전 주","전주원예농협(공)","10598","21326",톤, 백만원
"2014","청과","과일","익 산","이리청과","3486","7629",톤, 백만원
"2014","청과","과일","익 산","익산원예농협(공)","9805","22607",톤, 백만원
"2014","청과","과일","정 읍","정일청과","4538","8519",톤, 백만원
"2014","청과","과일","정 읍","정읍원예농협(공)","2174","3971",톤, 백만원
"2014","청과","과일","순 천","남도청과","7998","16345",톤, 백만원
"2014","청과","과일","순 천","남일청과","5637","11143",톤, 백만원
"2014","청과","과일","순 천","순천원예농협(공)","8360","16604",톤, 백만원
"2014","청과","과일","포 항","포항청과","7964","16915",톤, 백만원
"2014","청과","과일","포 항","대구경북능금농협포항(공)","6028","13447",톤, 백만원
"2014","청과","과일","포 항","포항농협(공)","3188","5444",톤, 백만원
"2014","청과","과일","안 동","안동청과","45587","94363",톤, 백만원
"2014","청과","과일","안 동","안동농협(공)","50232","99870",톤, 백만원
"2014","청과","과일","구 미","구미중앙청과","4596","8242",톤, 백만원
"2014","청과","과일","구 미","구미농협(공)","6014","11458",톤, 백만원
"2014","청과","과일","창원팔용","창원청과","9193","19165",톤, 백만원
"2014","청과","과일","창원팔용","농협창원(공)","10971","22839",톤, 백만원
"2014","청과","과일","창원내서","마산청과","11636","25273",톤, 백만원
"2014","청과","과일","창원내서","창원원예농협(공)","9553","17880",톤, 백만원
"2014","청과","과일","진 주","진주중앙청과","8920","17713",톤, 백만원
"2014","청과","과일","진 주","진주원예농협(공)","12134","25503",톤, 백만원
"2014","수산","수산","서울가락","강동수산","42971","147156",톤, 백만원
"2014","수산","수산","서울가락","서울건해","21053","159713",톤, 백만원
"2014","수산","수산","서울가락","수협가락(공)","25789","84301",톤, 백만원
"2014","수산","수산","서울가락","상장예외","12801","74724",톤, 백만원
"2014","수산","수산","부산국제","부산감천항수산","11897","38591",톤, 백만원
"2014","수산","수산","부산국제","삼성아이에프엠","42381","67529",톤, 백만원
"2014","수산","수산","부산국제","부산수산물(공)","45843","90241",톤, 백만원
"2014","수산","수산","부산국제","상장예외","130","507",톤, 백만원
"2014","수산","수산","대구북부","대구수산","4555","18123",톤, 백만원
"2014","수산","수산","대구북부","대구종합수산","6586","27540",톤, 백만원
"2014","수산","수산","대구북부","대구신화수산","4831","25122",톤, 백만원
"2014","수산","수산","광주서부","수협광주(공)","4116","26977",톤, 백만원
"2014","청과","채소","충 주","중원청과","9684","10651",톤, 백만원
"2014","청과","채소","충 주","충주원예농협충주(공)","11176","16852",톤, 백만원
"2014","청과","채소","천 안","천안청과","26928","29862",톤, 백만원
