"사망원인별","연령별","항목","단위","2016 년",
"감염성 및 기생충성 질환","0","사망확률(전체)[%]","%","3.01074",
"감염성 및 기생충성 질환","0","증가기대여명(전체)[년]","년",".37539",
"감염성 및 기생충성 질환","0","사망확률(남자)[%]","%","2.9224",
"감염성 및 기생충성 질환","0","증가기대여명(남자)[년]","년",".40012",
"감염성 및 기생충성 질환","0","사망확률(여자)[%]","%","3.10183",
"감염성 및 기생충성 질환","0","증가기대여명(여자)[년]","년",".34191",
"감염성 및 기생충성 질환","1","사망확률(전체)[%]","%","3.01507",
"감염성 및 기생충성 질환","1","증가기대여명(전체)[년]","년",".37301",
"감염성 및 기생충성 질환","1","사망확률(남자)[%]","%","2.928",
"감염성 및 기생충성 질환","1","증가기대여명(남자)[년]","년",".39869",
"감염성 및 기생충성 질환","1","사망확률(여자)[%]","%","3.10477",
"감염성 및 기생충성 질환","1","증가기대여명(여자)[년]","년",".33849",
"감염성 및 기생충성 질환","5","사망확률(전체)[%]","%","3.01433",
"감염성 및 기생충성 질환","5","증가기대여명(전체)[년]","년",".37113",
"감염성 및 기생충성 질환","5","사망확률(남자)[%]","%","2.9265",
"감염성 및 기생충성 질환","5","증가기대여명(남자)[년]","년",".39617",
"감염성 및 기생충성 질환","5","사망확률(여자)[%]","%","3.10458",
"감염성 및 기생충성 질환","5","증가기대여명(여자)[년]","년",".33715",
"감염성 및 기생충성 질환","10","사망확률(전체)[%]","%","3.01501",
"감염성 및 기생충성 질환","10","증가기대여명(전체)[년]","년",".37081",
"감염성 및 기생충성 질환","10","사망확률(남자)[%]","%","2.92725",
"감염성 및 기생충성 질환","10","증가기대여명(남자)[년]","년",".39588",
"감염성 및 기생충성 질환","10","사망확률(여자)[%]","%","3.10506",
"감염성 및 기생충성 질환","10","증가기대여명(여자)[년]","년",".33668",
"감염성 및 기생충성 질환","15","사망확률(전체)[%]","%","3.01573",
"감염성 및 기생충성 질환","15","증가기대여명(전체)[년]","년",".3706",
"감염성 및 기생충성 질환","15","사망확률(남자)[%]","%","2.92864",
"감염성 및 기생충성 질환","15","증가기대여명(남자)[년]","년",".39607",
"감염성 및 기생충성 질환","15","사망확률(여자)[%]","%","3.10472",
"감염성 및 기생충성 질환","15","증가기대여명(여자)[년]","년",".33577",
"감염성 및 기생충성 질환","20","사망확률(전체)[%]","%","3.01814",
"감염성 및 기생충성 질환","20","증가기대여명(전체)[년]","년",".37044",
"감염성 및 기생충성 질환","20","사망확률(남자)[%]","%","2.932",
"감염성 및 기생충성 질환","20","증가기대여명(남자)[년]","년",".39616",
"감염성 및 기생충성 질환","20","사망확률(여자)[%]","%","3.10612",
"감염성 및 기생충성 질환","20","증가기대여명(여자)[년]","년",".33536",
"감염성 및 기생충성 질환","25","사망확률(전체)[%]","%","3.02095",
"감염성 및 기생충성 질환","25","증가기대여명(전체)[년]","년",".36981",
"감염성 및 기생충성 질환","25","사망확률(남자)[%]","%","2.93604",
"감염성 및 기생충성 질환","25","증가기대여명(남자)[년]","년",".39585",
"감염성 및 기생충성 질환","25","사망확률(여자)[%]","%","3.10764",
"감염성 및 기생충성 질환","25","증가기대여명(여자)[년]","년",".33441",
